Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-08,1202.0,1228.3,1196.8,1225.3,971947,0,0,0
2018-01-09,1220.1,1231.95,1208.4,1216.8,764497,0,0,0
2018-01-10,1222.0,1222.7,1195.0,1204.2,1424677,0,0,0
2018-01-11,1204.4,1241.0,1201.4,1228.65,2768740,0,0,0
2018-01-12,1233.75,1245.0,1194.0,1224.6,1398111,0,0,0
2018-01-15,1228.0,1252.0,1220.1,1225.15,897263,0,0,0
2018-01-16,1224.0,1235.9,1197.8,1204.9,1179430,0,0,0
2018-01-17,1200.45,1214.0,1187.65,1209.35,2117550,0,0,0
2018-01-18,1222.0,1264.5,1212.1,1243.7,4638248,0,0,0
2018-01-19,1250.95,1308.8,1244.3,1301.8,2323606,0,0,0
2018-01-22,1304.8,1363.7,1300.0,1355.15,2123773,0,0,0
2018-01-23,1369.9,1397.0,1346.55,1379.1,2611848,0,0,0
2018-01-24,1399.95,1409.8,1354.15,1362.0,3097670,0,0,0
2018-01-25,1367.95,1404.45,1348.05,1394.0,3264299,0,0,0
2018-01-29,1395.0,1440.0,1389.75,1421.15,2220889,40.998582453929735,9.347928807686271,0
2018-01-30,1426.55,1433.65,1408.55,1415.0,1147808,39.32435416206667,8.966194466072464,0
2018-01-31,1391.0,1415.55,1372.0,1390.95,1337755,36.53648898150446,14.280440291323835,0
2018-02-01,1389.0,1412.85,1313.05,1377.45,2027712,31.095959199131514,20.949630480699994,0
2018-02-02,1355.0,1360.0,1292.0,1319.6,2120577,27.34183794979039,21.39446818365553,0
2018-02-05,1300.0,1309.6,1270.1,1292.45,1509725,25.426814454882724,22.994739999453337,0
2018-02-06,1220.75,1315.0,1206.8,1294.95,1554111,21.827945681185053,28.02048752767622,0
2018-02-07,1320.8,1326.5,1257.0,1274.1,1965084,21.35698816979348,25.521718057657317,0
2018-02-08,1283.0,1329.95,1277.45,1314.4,1594358,20.269432505016123,23.693207712317992,0
2018-02-09,1272.0,1299.2,1266.5,1288.4,1678616,19.011381602174193,23.641501275553527,0
2018-02-12,1302.8,1320.0,1286.35,1314.85,995745,20.93102423754268,22.581179954464158,0
2018-02-14,1323.0,1369.0,1323.0,1348.2,2308630,25.94753666536029,20.95263703623082,0
2018-02-15,1353.0,1358.0,1304.05,1312.3,1189964,24.08391666036157,21.970541563149066,0
2018-02-16,1329.0,1329.4,1265.0,1272.35,1437076,22.04821656420529,25.23880534076669,0
2018-02-19,1281.9,1281.9,1226.55,1251.05,1132793,20.208676555847347,28.19213917817548,19.426958233524157
2018-02-20,1258.0,1274.0,1233.0,1237.45,1365926,19.115229020074143,26.666723843462147,19.217495465847264
2018-02-21,1247.6,1250.65,1227.85,1244.05,1194393,18.51526436216451,26.538697202294912,19.116852630541565
2018-02-22,1235.1,1272.55,1233.25,1267.4,2802709,20.56384934768328,25.077614588850867,18.4577642561356
2018-02-23,1280.0,1293.0,1271.0,1283.65,1179582,22.769636404160305,24.145098665985383,17.348769254287763
2018-02-26,1299.95,1299.95,1284.0,1294.35,1284219,23.263640482842064,23.544759585956843,16.15246959669846
2018-02-27,1307.0,1307.25,1270.45,1279.75,1142949,21.93747083196217,24.301566580609034,15.363919643352128
2018-02-28,1268.25,1280.0,1247.8,1254.1,1071839,20.81912379527118,26.648635301936945,15.143710497282445
2018-03-01,1255.0,1272.2,1245.0,1256.3,1170536,19.89641922086404,25.92380228779222,15.001618113872322
2018-03-05,1256.0,1256.0,1227.0,1238.25,1248449,18.923482300382094,27.660227525242593,15.269712288560475
2018-03-06,1249.0,1276.6,1227.0,1238.75,1416894,20.7740241149667,25.396221363635803,14.894104520634206
2018-03-07,1225.1,1226.85,1193.0,1196.25,1774131,19.21199732170672,29.074635938584077,15.289182354996095
